id,module,module_title,module_question,topic,type,difficulty,question,A,B,C,D,answer,answer_text,explanation
1,1,"Supply Chains, Demand Management, and Forecasting",1,supply chain strategy alignment,concept,Foundation,Which statement best describes supply chain strategy alignment in a CSCP context?,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on linking supply chain decisions to business strategy, customer value, and competitive priorities.",D,"It focuses on linking supply chain decisions to business strategy, customer value, and competitive priorities.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For supply chain strategy alignment, remember: confirm the competitive priority and align planning, service, inventory, and capacity decisions to it. Watch for the trap of optimizing one function without confirming the business strategy."
2,1,"Supply Chains, Demand Management, and Forecasting",2,supply chain strategy alignment,best_action,Applied,A supply chain leader is reviewing supply chain strategy alignment. What is the best next action?,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,"confirm the competitive priority and align planning, service, inventory, and capacity decisions to it.",Increase expediting and overtime before validating the root cause.,C,"confirm the competitive priority and align planning, service, inventory, and capacity decisions to it.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For supply chain strategy alignment, remember: confirm the competitive priority and align planning, service, inventory, and capacity decisions to it. Watch for the trap of optimizing one function without confirming the business strategy."
3,1,"Supply Chains, Demand Management, and Forecasting",3,supply chain strategy alignment,trap,Exam Trap,Which choice is the most common trap when working with supply chain strategy alignment?,Checking whether the decision supports business strategy.,optimizing one function without confirming the business strategy.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,optimizing one function without confirming the business strategy.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For supply chain strategy alignment, remember: confirm the competitive priority and align planning, service, inventory, and capacity decisions to it. Watch for the trap of optimizing one function without confirming the business strategy."
4,1,"Supply Chains, Demand Management, and Forecasting",4,supply chain strategy alignment,metric,Applied,"When using metrics or analysis related to supply chain strategy alignment, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For supply chain strategy alignment, remember: confirm the competitive priority and align planning, service, inventory, and capacity decisions to it. Watch for the trap of optimizing one function without confirming the business strategy."
5,1,"Supply Chains, Demand Management, and Forecasting",5,supply chain strategy alignment,scenario,Scenario,A team is struggling with supply chain strategy alignment. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"confirm the competitive priority and align planning, service, inventory, and capacity decisions to it and verify the impact through agreed metrics.",D,"confirm the competitive priority and align planning, service, inventory, and capacity decisions to it and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For supply chain strategy alignment, remember: confirm the competitive priority and align planning, service, inventory, and capacity decisions to it. Watch for the trap of optimizing one function without confirming the business strategy."
6,1,"Supply Chains, Demand Management, and Forecasting",6,value proposition,concept,Foundation,Which statement best describes value proposition in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on the promise made to customers about service, cost, quality, speed, innovation, or customization.",It is mainly a finance-only control that does not affect operations.,C,"It focuses on the promise made to customers about service, cost, quality, speed, innovation, or customization.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For value proposition, remember: translate the customer promise into measurable supply chain capabilities. Watch for the trap of copying a competitor instead of matching the supply chain to customer value."
7,1,"Supply Chains, Demand Management, and Forecasting",7,value proposition,best_action,Applied,A supply chain leader is reviewing value proposition. What is the best next action?,Freeze all planning changes permanently to avoid variation.,translate the customer promise into measurable supply chain capabilities.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,translate the customer promise into measurable supply chain capabilities.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For value proposition, remember: translate the customer promise into measurable supply chain capabilities. Watch for the trap of copying a competitor instead of matching the supply chain to customer value."
8,1,"Supply Chains, Demand Management, and Forecasting",8,value proposition,trap,Exam Trap,Which choice is the most common trap when working with value proposition?,copying a competitor instead of matching the supply chain to customer value.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,copying a competitor instead of matching the supply chain to customer value.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For value proposition, remember: translate the customer promise into measurable supply chain capabilities. Watch for the trap of copying a competitor instead of matching the supply chain to customer value."
9,1,"Supply Chains, Demand Management, and Forecasting",9,value proposition,metric,Applied,"When using metrics or analysis related to value proposition, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For value proposition, remember: translate the customer promise into measurable supply chain capabilities. Watch for the trap of copying a competitor instead of matching the supply chain to customer value."
10,1,"Supply Chains, Demand Management, and Forecasting",10,value proposition,scenario,Scenario,A team is struggling with value proposition. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,translate the customer promise into measurable supply chain capabilities and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,C,translate the customer promise into measurable supply chain capabilities and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For value proposition, remember: translate the customer promise into measurable supply chain capabilities. Watch for the trap of copying a competitor instead of matching the supply chain to customer value."
11,1,"Supply Chains, Demand Management, and Forecasting",11,demand management,concept,Foundation,Which statement best describes demand management in a CSCP context?,It is used only after customer orders have already shipped.,"It focuses on the coordinated process of influencing, prioritizing, and translating demand into executable plans.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,B,"It focuses on the coordinated process of influencing, prioritizing, and translating demand into executable plans.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For demand management, remember: reconcile demand signals with capacity, supply, and business priorities. Watch for the trap of treating every demand signal as equal or guaranteed."
12,1,"Supply Chains, Demand Management, and Forecasting",12,demand management,best_action,Applied,A supply chain leader is reviewing demand management. What is the best next action?,"reconcile demand signals with capacity, supply, and business priorities.",Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,A,"reconcile demand signals with capacity, supply, and business priorities.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For demand management, remember: reconcile demand signals with capacity, supply, and business priorities. Watch for the trap of treating every demand signal as equal or guaranteed."
